population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Montenegro,Female,Age-standardized,Conduct disorder,Percent,2021,0.0040943334792721,0.0053765782338422,0.0028238083735237
All Population,Prevalence,Montenegro,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.011543229497993,0.0217193152260592,0.0052853315671461
All Population,Prevalence,Montenegro,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0102361604001384,0.0183621690012377,0.005539837431073
All Population,Prevalence,Montenegro,Male,Age-standardized,Other mental disorders,Percent,2021,0.0193077699737289,0.0241796769861628,0.0150778278210769
All Population,Prevalence,Montenegro,Female,Age-standardized,Other mental disorders,Percent,2021,0.0128625136951225,0.0163875023441257,0.0101261093986666
All Population,Prevalence,Israel,Male,Age-standardized,Depressive disorders,Percent,2021,0.038554589675721,0.0459345642935403,0.0326609037824283
All Population,Prevalence,Israel,Female,Age-standardized,Depressive disorders,Percent,2021,0.0673792457663146,0.0781921908565693,0.0572223933511352
All Population,Prevalence,Montenegro,Male,Age-standardized,Depressive disorders,Percent,2021,0.0224255464905593,0.0261004713178398,0.0195501819066842
All Population,Prevalence,Montenegro,Female,Age-standardized,Depressive disorders,Percent,2021,0.0316322449586449,0.0361688759277237,0.0277278860452311
All Population,Prevalence,Montenegro,Male,Age-standardized,Bipolar disorder,Percent,2021,0.0047793368245804,0.0060730740819433,0.0037312799308972
All Population,Prevalence,Montenegro,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0051038006697313,0.0065246307975604,0.0039610738283069
All Population,Prevalence,Montenegro,Male,Age-standardized,Anxiety disorders,Percent,2021,0.0495958590116697,0.0660481303727149,0.0371971708184028
All Population,Prevalence,Montenegro,Female,Age-standardized,Anxiety disorders,Percent,2021,0.0917740266859082,0.1199304032049512,0.0712188620355805
All Population,Prevalence,Montenegro,Male,Age-standardized,Eating disorders,Percent,2021,0.0013845272092987,0.0019556945732786,0.0010155076894052
All Population,Prevalence,Montenegro,Female,Age-standardized,Eating disorders,Percent,2021,0.0032627726295574,0.004386791270518,0.0025277463488148
All Population,Prevalence,Montenegro,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0105929186793201,0.0188297544219565,0.0052496432303731
All Population,Prevalence,Montenegro,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0039870466795255,0.0071218804812455,0.0019647624057565
All Population,Prevalence,Montenegro,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0086928019825476,0.0124391360973274,0.0061398231696259
All Population,Prevalence,Montenegro,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0033692215982039,0.004707652155136,0.0023148102488942
All Population,Prevalence,Tajikistan,Male,Age-standardized,Eating disorders,Percent,2021,0.0008556678064776,0.0012220754733032,0.0006420348486695
All Population,Prevalence,Tajikistan,Female,Age-standardized,Eating disorders,Percent,2021,0.0019722617702237,0.0026747708928565,0.0015477676647112
All Population,Prevalence,Tajikistan,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0090706429651982,0.0164155537627892,0.0045031359506479
All Population,Prevalence,Tajikistan,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0033849791456456,0.0061692181943768,0.0016753700555374
All Population,Prevalence,Tajikistan,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0085124280908436,0.0122260542236644,0.0059850553469741
All Population,Prevalence,Tajikistan,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0033055851904379,0.0046246402245167,0.0022748761004202
All Population,Prevalence,Tajikistan,Male,Age-standardized,Conduct disorder,Percent,2021,0.0076053899776329,0.0094694575439225,0.005770497570027
All Population,Prevalence,Tajikistan,Female,Age-standardized,Conduct disorder,Percent,2021,0.0040169365488273,0.0052886684348724,0.0027725661529961
All Population,Prevalence,Tajikistan,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0148491651449179,0.0265024471426513,0.0070492986207814
All Population,Prevalence,Tajikistan,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0118110908981577,0.0200917547872504,0.0064291181882265
All Population,Prevalence,Tajikistan,Male,Age-standardized,Other mental disorders,Percent,2021,0.0189049681654741,0.0236513357267197,0.0148250942122667
All Population,Prevalence,Tajikistan,Female,Age-standardized,Other mental disorders,Percent,2021,0.0126191512649159,0.0161040832010942,0.0099387110762964
All Population,Prevalence,China,Male,Age-standardized,Depressive disorders,Percent,2021,0.0276266599191009,0.0316475062372478,0.024706798367881
All Population,Prevalence,China,Female,Age-standardized,Depressive disorders,Percent,2021,0.0425329794340872,0.0477835524891425,0.0385341873181159
All Population,Prevalence,China,Male,Age-standardized,Bipolar disorder,Percent,2021,0.0020395264990733,0.0023849241145547,0.0017439614063238
All Population,Prevalence,China,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0022797928465534,0.0026551387503705,0.0019675238218356
All Population,Prevalence,China,Male,Age-standardized,Anxiety disorders,Percent,2021,0.0321571257501038,0.0454824755192743,0.0246763933063007
All Population,Prevalence,China,Female,Age-standardized,Anxiety disorders,Percent,2021,0.0454448133606323,0.0625981546001631,0.0351030952355856
All Population,Prevalence,China,Male,Age-standardized,Eating disorders,Percent,2021,0.0012650851813484,0.0018185518258334,0.0009293747011871
All Population,Prevalence,China,Female,Age-standardized,Eating disorders,Percent,2021,0.0021762806069085,0.002939564436082,0.0016454740850182
All Population,Prevalence,Andorra,Male,Age-standardized,Schizophrenia,Percent,2021,0.0033985581000839,0.0041635333404141,0.0026986082987979
All Population,Prevalence,Andorra,Female,Age-standardized,Schizophrenia,Percent,2021,0.0027722090749752,0.0033789003342663,0.0021819644578204
All Population,Prevalence,Andorra,Male,Age-standardized,Depressive disorders,Percent,2021,0.031554135689895,0.0355188424009542,0.028233077479121
All Population,Prevalence,Andorra,Female,Age-standardized,Depressive disorders,Percent,2021,0.0563533305615925,0.0633311227353544,0.0506156152532212
All Population,Prevalence,Ukraine,Female,Age-standardized,Bipolar disorder,Percent,2021,0.00530753417695,0.0061599005854025,0.0045383662173372
All Population,Prevalence,Ukraine,Male,Age-standardized,Anxiety disorders,Percent,2021,0.0305975464385149,0.0427523719422982,0.0231004790137887
All Population,Prevalence,Ukraine,Female,Age-standardized,Anxiety disorders,Percent,2021,0.0542838980373438,0.0751374270619398,0.0414478728990004
All Population,Prevalence,Ukraine,Male,Age-standardized,Eating disorders,Percent,2021,0.0012161874784163,0.0016473327946577,0.0008961251886833
All Population,Prevalence,Ukraine,Female,Age-standardized,Eating disorders,Percent,2021,0.002743039273928,0.0037170266489389,0.0021289984816401
All Population,Prevalence,Ukraine,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0113203938081729,0.0222515450081239,0.0049970359382975
All Population,Prevalence,Ukraine,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0041164693755479,0.0081303170298901,0.0018128870174942
All Population,Prevalence,Ukraine,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0088555898647667,0.012582322469598,0.0061770744388205
All Population,Prevalence,Ukraine,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0033253216469675,0.0046612629449051,0.0022235941841519
All Population,Prevalence,Ukraine,Male,Age-standardized,Conduct disorder,Percent,2021,0.0083497108360848,0.0104112727253004,0.0063049533232908
All Population,Prevalence,Ukraine,Female,Age-standardized,Conduct disorder,Percent,2021,0.0047733361232366,0.0062074730487599,0.0033369505047314
All Population,Prevalence,Andorra,Male,Age-standardized,Bipolar disorder,Percent,2021,0.0063603961630645,0.0082661016796516,0.0048787836592037
All Population,Prevalence,Andorra,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0072940414817259,0.0094443944526584,0.0056246082269106
All Population,Prevalence,Andorra,Male,Age-standardized,Anxiety disorders,Percent,2021,0.0673241897145547,0.0804898599620835,0.0584270645069036
All Population,Prevalence,Andorra,Female,Age-standardized,Anxiety disorders,Percent,2021,0.1139258057154124,0.1278126882247,0.0997756548997916
All Population,Prevalence,Andorra,Male,Age-standardized,Eating disorders,Percent,2021,0.0033239005602429,0.0045417609982489,0.0025793877202155
All Population,Prevalence,Andorra,Female,Age-standardized,Eating disorders,Percent,2021,0.0079973420328641,0.0104208157177281,0.006270267432109
All Population,Prevalence,Andorra,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0157055309197179,0.0253875654267978,0.0092976507291769
All Population,Prevalence,Andorra,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0050795585733178,0.007517992595669,0.0031919219284393
All Population,Prevalence,Andorra,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.018083632101498,0.0259380210260613,0.0129185076061884
All Population,Prevalence,Andorra,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0068235607703973,0.0095669828858307,0.0045830096708113
All Population,Prevalence,Andorra,Male,Age-standardized,Conduct disorder,Percent,2021,0.0086780395447073,0.0106609661439819,0.0064827714366426
All Population,Prevalence,Andorra,Female,Age-standardized,Conduct disorder,Percent,2021,0.0043348519818103,0.0056909757956044,0.0030013818653615
All Population,Prevalence,Andorra,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0050406063354285,0.0108939956918863,0.001328159988527
All Population,Prevalence,Andorra,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.005155903846152,0.0097730137086848,0.0021805824762482
All Population,Prevalence,Andorra,Male,Age-standardized,Other mental disorders,Percent,2021,0.0218535805745103,0.0272723387081154,0.0171094958490043
All Population,Prevalence,Andorra,Female,Age-standardized,Other mental disorders,Percent,2021,0.0136162043451638,0.0168762964932961,0.010592197030897
All Population,Prevalence,Samoa,Male,Age-standardized,Schizophrenia,Percent,2021,0.003493416722242,0.0042944821728063,0.0027433985837394
All Population,Prevalence,Samoa,Female,Age-standardized,Schizophrenia,Percent,2021,0.003021574472356,0.0037485168835665,0.0023553801964621
All Population,Prevalence,Samoa,Male,Age-standardized,Depressive disorders,Percent,2021,0.0324209511701656,0.0443808128280863,0.023314619532904
All Population,Prevalence,Samoa,Female,Age-standardized,Depressive disorders,Percent,2021,0.0318379007763866,0.0423309317558759,0.0236687233413635
All Population,Prevalence,Samoa,Male,Age-standardized,Bipolar disorder,Percent,2021,0.003832840670747,0.0048671359853119,0.0030632707464728
All Population,Prevalence,Samoa,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0038585046039252,0.0049437635731976,0.0030434798116259
All Population,Prevalence,Samoa,Male,Age-standardized,Anxiety disorders,Percent,2021,0.0360985895498216,0.0529532130826558,0.0270460212774335
All Population,Prevalence,Samoa,Female,Age-standardized,Anxiety disorders,Percent,2021,0.0496693865826769,0.0690498212282628,0.0375501832158082
All Population,Prevalence,Ukraine,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0138472488332172,0.0250784618725063,0.0065599429933206
All Population,Prevalence,Ukraine,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0113191518491263,0.0192567203394387,0.0058086748216437
All Population,Prevalence,Ukraine,Male,Age-standardized,Other mental disorders,Percent,2021,0.0183193422126647,0.0231954515622035,0.0145628917677645
All Population,Prevalence,Ukraine,Female,Age-standardized,Other mental disorders,Percent,2021,0.0122373421287155,0.0151992969444071,0.0096615363205898
All Population,Prevalence,Samoa,Male,Age-standardized,Eating disorders,Percent,2021,0.0009048318550036,0.0012904630089448,0.0006726062204368
All Population,Prevalence,Samoa,Female,Age-standardized,Eating disorders,Percent,2021,0.0020371052738806,0.002701217983949,0.0015961124576561
All Population,Prevalence,Samoa,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0096371157314915,0.0165183651096261,0.0051360217033697
All Population,Prevalence,Samoa,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0034920847096517,0.0057764651840789,0.0019325919258977
All Population,Prevalence,Samoa,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0130051295584923,0.0181226515744334,0.0089735836465378
All Population,Prevalence,Samoa,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.004751321264226,0.0066670826117694,0.0033057147409968
All Population,Prevalence,China,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.008152049361407,0.0120655614015697,0.0052329260436242
All Population,Prevalence,China,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0030151866623182,0.0046018724080604,0.0018997029386888
All Population,Prevalence,China,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0293470193897642,0.0408298639810087,0.0210734133945752
All Population,Prevalence,China,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0103481281021041,0.0140502840915052,0.0073940299955761
All Population,Prevalence,China,Male,Age-standardized,Conduct disorder,Percent,2021,0.0068884306731569,0.0086501101019338,0.0050360634794697
All Population,Prevalence,China,Female,Age-standardized,Conduct disorder,Percent,2021,0.0028919030642305,0.0039153135935822,0.0020114544304062
All Population,Prevalence,China,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0106092416565302,0.0189132926321538,0.0052542345983027
All Population,Prevalence,China,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0093263255260321,0.015332646027413,0.0051050811925856
All Population,Prevalence,China,Male,Age-standardized,Other mental disorders,Percent,2021,0.0181180504690678,0.022875183539844,0.0143639607885599
All Population,Prevalence,China,Female,Age-standardized,Other mental disorders,Percent,2021,0.0121385153833668,0.0150830028559212,0.0095636348638161
All Population,Prevalence,Turkmenistan,Male,Age-standardized,Schizophrenia,Percent,2021,0.0032547552260191,0.0039911579041979,0.0025391174265352
All Population,Prevalence,Turkmenistan,Female,Age-standardized,Schizophrenia,Percent,2021,0.0029789890821427,0.0036878039689161,0.0023332827315309
All Population,Prevalence,Turkmenistan,Male,Age-standardized,Depressive disorders,Percent,2021,0.0297372363294086,0.0372165892970035,0.023623751415388
All Population,Prevalence,Turkmenistan,Female,Age-standardized,Depressive disorders,Percent,2021,0.0417186105671874,0.0516750493670974,0.0338194971302596
All Population,Prevalence,Turkmenistan,Male,Age-standardized,Bipolar disorder,Percent,2021,0.0049212182897922,0.0061990531861854,0.003886592512104
All Population,Prevalence,Turkmenistan,Female,Age-standardized,Bipolar disorder,Percent,2021,0.005135057580849,0.0066193614712078,0.0039972423345069
All Population,Prevalence,Philippines,Male,Age-standardized,Bipolar disorder,Percent,2021,0.0032799696237043,0.003841492351138,0.0027968873867861
All Population,Prevalence,Philippines,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0033318569645619,0.0038912200135712,0.002848692212737
All Population,Prevalence,Philippines,Male,Age-standardized,Anxiety disorders,Percent,2021,0.022469870120704,0.0272179055492802,0.0178161504497504
All Population,Prevalence,Philippines,Female,Age-standardized,Anxiety disorders,Percent,2021,0.034142618911288,0.0409284370520671,0.0271878015025774
All Population,Prevalence,Philippines,Male,Age-standardized,Eating disorders,Percent,2021,0.0008749879500286,0.0012062699585201,0.0006666314082198
All Population,Prevalence,Philippines,Female,Age-standardized,Eating disorders,Percent,2021,0.002220880332434,0.0029429972043914,0.001709314472753
All Population,Prevalence,Philippines,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0098919190342693,0.0173719416206796,0.0050316131312678
All Population,Prevalence,Philippines,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0032428151959054,0.0057641971389161,0.0016473613810396
All Population,Prevalence,Philippines,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0088896101276763,0.0122575548182405,0.0063509309311908
All Population,Prevalence,Philippines,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0032205494324711,0.0045878719064733,0.002158987496442
All Population,Prevalence,Philippines,Male,Age-standardized,Conduct disorder,Percent,2021,0.0065878940722575,0.008397827815181,0.0049135548829562
All Population,Prevalence,Philippines,Female,Age-standardized,Conduct disorder,Percent,2021,0.0033344630740626,0.004624941751695,0.0022747852220088
All Population,Prevalence,Philippines,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0059189306968171,0.0121815432895912,0.0019390865881601
All Population,Prevalence,Philippines,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0088901827750191,0.0154888719063754,0.0044295186217082
All Population,Prevalence,Philippines,Male,Age-standardized,Other mental disorders,Percent,2021,0.0177304655092964,0.0224103383139369,0.0140657441941602
All Population,Prevalence,Philippines,Female,Age-standardized,Other mental disorders,Percent,2021,0.0119660814897673,0.0148599881258603,0.0094324550893441
All Population,Prevalence,Luxembourg,Male,Age-standardized,Schizophrenia,Percent,2021,0.0033800737700169,0.004169224563483,0.00261639209227
All Population,Prevalence,Luxembourg,Female,Age-standardized,Schizophrenia,Percent,2021,0.0027268186001396,0.0033392923357505,0.0021562211862834
All Population,Prevalence,China,Male,Age-standardized,Schizophrenia,Percent,2021,0.0034803651765814,0.0041078569293459,0.0029095161039971
All Population,Prevalence,China,Female,Age-standardized,Schizophrenia,Percent,2021,0.0029180631102087,0.0034548998247893,0.00244181814844
All Population,Prevalence,Fiji,Male,Age-standardized,Schizophrenia,Percent,2021,0.0034905318440915,0.0042928524196082,0.0027528300749421
All Population,Prevalence,Fiji,Female,Age-standardized,Schizophrenia,Percent,2021,0.0029714257893194,0.0036185340088465,0.0023247210662909
All Population,Prevalence,Bulgaria,Male,Age-standardized,Depressive disorders,Percent,2021,0.0236484700206966,0.027746591447091,0.0205185467922573
All Population,Prevalence,Bulgaria,Female,Age-standardized,Depressive disorders,Percent,2021,0.0352421039644687,0.0401498519349005,0.0310816396273167
All Population,Prevalence,Azerbaijan,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0090699422063368,0.016278119676472,0.0044941744874401
All Population,Prevalence,Azerbaijan,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0033789842884108,0.006144604325999,0.0016687888942215
All Population,Prevalence,Azerbaijan,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.008606025299386,0.0123477293430966,0.006036214456818
All Population,Prevalence,Azerbaijan,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0033310555933909,0.0046526135126317,0.0022899591346241
All Population,Prevalence,Azerbaijan,Male,Age-standardized,Conduct disorder,Percent,2021,0.0076888630277579,0.0095561916210956,0.0057984875433337
All Population,Prevalence,Azerbaijan,Female,Age-standardized,Conduct disorder,Percent,2021,0.0040478033915486,0.0053482651285261,0.0027975366373723
All Population,Prevalence,Azerbaijan,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0134570376642418,0.0236443577803019,0.0065004090115684
All Population,Prevalence,Azerbaijan,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0112865141448421,0.0189591085765684,0.0059997953242597
All Population,Prevalence,Azerbaijan,Male,Age-standardized,Other mental disorders,Percent,2021,0.0191122642740739,0.0239349279278874,0.0149728664928085
All Population,Prevalence,Azerbaijan,Female,Age-standardized,Other mental disorders,Percent,2021,0.0127163095078554,0.0162034049846192,0.0100062970345012
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Depressive disorders,Percent,2021,0.0266446066870757,0.0329792980744008,0.0217340601405206
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Depressive disorders,Percent,2021,0.0387602671497896,0.0478112992199881,0.0320520493579125
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Bipolar disorder,Percent,2021,0.0070899844684083,0.0087930345686126,0.0055382854052168
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Bipolar disorder,Percent,2021,0.0077660828670642,0.0100831522717227,0.0061610753229481
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Anxiety disorders,Percent,2021,0.0670205470579729,0.0832392176218299,0.0505974676655829
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Anxiety disorders,Percent,2021,0.1029103013117179,0.1248531008648316,0.0778970260158399
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Eating disorders,Percent,2021,0.00202758468627,0.002795863509014,0.0015329633247145
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Eating disorders,Percent,2021,0.0060841819452474,0.0082396914772187,0.0046668659923538
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0093322539090036,0.0166121186518711,0.0048408603400566
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0033700367986799,0.0060034466570064,0.0017476538854519
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0249188849961269,0.0347289471890282,0.0178572263574163
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0102482238722584,0.0140816091253753,0.0071663034876252
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Conduct disorder,Percent,2021,0.0077935515213513,0.0096071454116244,0.0059897863704091
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Conduct disorder,Percent,2021,0.0040988201273093,0.005459156029751,0.0028516133717313
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0053624958417181,0.0107029074983879,0.0019364122322329
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0049163544911638,0.0093828792528539,0.0022610043496905
All Population,Prevalence,Bolivia (Plurinational State of),Male,Age-standardized,Other mental disorders,Percent,2021,0.0187792202675947,0.0234478469723104,0.0147343245360638
All Population,Prevalence,Bolivia (Plurinational State of),Female,Age-standardized,Other mental disorders,Percent,2021,0.0125413761420608,0.0159909968912,0.0098770578925364
All Population,Prevalence,Taiwan,Male,Age-standardized,Depressive disorders,Percent,2021,0.0190859925318379,0.02303350598695,0.0159872428609932
All Population,Prevalence,Taiwan,Female,Age-standardized,Depressive disorders,Percent,2021,0.0320139779231423,0.0373435156895794,0.0269371751342132
All Population,Prevalence,Taiwan,Male,Age-standardized,Bipolar disorder,Percent,2021,0.0022994370542833,0.0029291524155072,0.0018191554961412
All Population,Prevalence,Taiwan,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0024835468047746,0.0031784465427389,0.001936616514954
All Population,Prevalence,Taiwan,Male,Age-standardized,Anxiety disorders,Percent,2021,0.0314371708317994,0.0437509418611645,0.0244198862832393
All Population,Prevalence,Taiwan,Female,Age-standardized,Anxiety disorders,Percent,2021,0.0540483016809533,0.0724214387544965,0.0421879256003971
All Population,Prevalence,Taiwan,Male,Age-standardized,Eating disorders,Percent,2021,0.0025939679711201,0.00364719865954,0.0019597529290604
All Population,Prevalence,Taiwan,Female,Age-standardized,Eating disorders,Percent,2021,0.0051642924469485,0.0069414001025889,0.0040230697884196
All Population,Prevalence,Taiwan,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.010300236227054,0.0155466026200682,0.0062547775479777
All Population,Prevalence,Taiwan,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0035346217589301,0.0055004078748482,0.0020763266521495
All Population,Prevalence,Taiwan,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0140157302204219,0.019525772623345,0.0104088469276687
All Population,Prevalence,Taiwan,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.005348673452565,0.007332871711916,0.0037507093967327
All Population,Prevalence,Taiwan,Male,Age-standardized,Conduct disorder,Percent,2021,0.0064432647803084,0.0081280124430993,0.0047311698851094
All Population,Prevalence,Taiwan,Female,Age-standardized,Conduct disorder,Percent,2021,0.0025526620410384,0.0034318419124583,0.0017609511756003
All Population,Prevalence,Taiwan,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0035667692801554,0.0077608410450304,0.0012973878459489
All Population,Prevalence,Taiwan,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0025679703174986,0.0051867410090226,0.0011100059523767
All Population,Prevalence,Estonia,Male,Age-standardized,Schizophrenia,Percent,2021,0.0027780083850436,0.0034555849493063,0.0021532315557506
All Population,Prevalence,Estonia,Female,Age-standardized,Schizophrenia,Percent,2021,0.0024477156077001,0.0030557115810408,0.0019151311405495
All Population,Prevalence,Estonia,Male,Age-standardized,Depressive disorders,Percent,2021,0.02877186561452,0.0336086732693326,0.0248260131779993
All Population,Prevalence,Estonia,Female,Age-standardized,Depressive disorders,Percent,2021,0.039985141893765,0.0455549137259931,0.0353681381089997
All Population,Prevalence,Estonia,Male,Age-standardized,Bipolar disorder,Percent,2021,0.005094248796019,0.0065413673043611,0.0040251879864759
All Population,Prevalence,Estonia,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0053194270858182,0.0067649068850803,0.004182802665369
